pca_components,explained_variance,compression_ratio,k,jump_penalty,silhouette,inertia,objective,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,smoothed_weeks,min_cluster_size,max_cluster_share,cluster_sizes,market_regime_feasible,attention_ready,tuning_score
6,0.539383616451501,9.0,9,0.25,0.15238437959287132,16791.147300733697,16805.147300733697,56,3,10.157894736842104,36,93,5,0.2970639032815199,"117,5,172,49,57,43,14,74,48",False,False,0.13238437959287133
6,0.539383616451501,9.0,9,0.5,0.15238437959287132,16791.147300733697,16819.147300733697,56,3,10.157894736842104,36,93,5,0.2970639032815199,"117,5,172,49,57,43,14,74,48",False,False,0.13238437959287133
6,0.539383616451501,9.0,9,1.0,0.15237411116084854,16793.220406460554,16849.220406460554,56,3,10.157894736842104,36,89,5,0.2970639032815199,"118,5,172,49,57,43,14,73,48",False,False,0.13237411116084855
6,0.539383616451501,9.0,9,2.0,0.15146262865525037,16748.33008329972,16864.33008329972,58,3,9.813559322033898,36,83,5,0.29533678756476683,"122,5,171,49,57,43,14,70,48",False,False,0.13146262865525038
6,0.539383616451501,9.0,9,4.0,0.14992264754309972,16680.85527141718,16896.85527141718,54,3,10.527272727272727,36,64,5,0.2815198618307427,"119,5,163,52,57,43,14,78,48",False,False,0.12992264754309973
6,0.539383616451501,9.0,9,8.0,0.17633400507246078,16484.376221192128,16860.376221192128,47,3,12.0625,60,24,5,0.33678756476683935,"195,46,14,48,60,5,109,79,23",False,False,0.15633400507246079
6,0.539383616451501,9.0,9,16.0,0.17234529013327263,16526.502412289246,17230.502412289246,44,3,12.866666666666667,60,18,5,0.3333333333333333,"193,41,14,52,50,5,122,79,23",False,False,0.15234529013327264
6,0.539383616451501,9.0,9,32.0,0.1686352888377138,16622.983681268848,17902.983681268848,40,3,14.121951219512194,60,5,5,0.3281519861830743,"190,41,14,48,50,5,130,78,23",False,False,0.14863528883771382
6,0.539383616451501,9.0,9,64.0,0.16264921507745292,16801.1700916677,18849.1700916677,32,3,17.545454545454547,60,0,5,0.3298791018998273,"191,37,14,45,54,5,115,95,23",False,False,0.14264921507745293
6,0.539383616451501,9.0,10,0.0,0.14973010414667703,16110.930177571885,16110.930177571885,51,3,11.134615384615385,35,105,5,0.27979274611398963,"101,5,162,49,59,24,14,73,53,39",False,False,0.12973010414667704
6,0.539383616451501,9.0,10,0.25,0.14993634181629995,16063.313641674804,16076.063641674804,51,3,11.134615384615385,35,100,5,0.27979274611398963,"101,5,162,49,59,24,14,74,52,39",False,False,0.12993634181629996
6,0.539383616451501,9.0,10,0.5,0.14993634181629995,16063.313641674804,16088.813641674804,51,3,11.134615384615385,35,100,5,0.27979274611398963,"101,5,162,49,59,24,14,74,52,39",False,False,0.12993634181629996
6,0.539383616451501,9.0,10,1.0,0.1633411001114651,16136.98148661882,16192.98148661882,56,3,10.157894736842104,35,72,5,0.3126079447322971,"181,46,14,43,50,5,115,36,23,66",False,False,0.14334110011146511
6,0.539383616451501,9.0,10,2.0,0.16290058806597332,16111.276183467915,16223.276183467915,56,3,10.157894736842104,35,69,5,0.3126079447322971,"181,46,14,45,50,5,115,34,23,66",False,False,0.14290058806597333
6,0.539383616451501,9.0,10,4.0,0.16964779667505328,16109.483945046219,16333.483945046219,56,3,10.157894736842104,35,57,5,0.32642487046632124,"189,43,14,45,49,5,115,32,24,63",False,False,0.1496477966750533
6,0.539383616451501,9.0,10,8.0,0.17057922806793963,16018.930316400823,16458.930316400823,55,3,10.339285714285714,35,37,5,0.3229706390328152,"187,46,14,46,50,5,116,30,23,62",False,False,0.15057922806793964
6,0.539383616451501,9.0,10,16.0,0.1652539771762683,15751.421231107466,16519.421231107466,48,3,11.816326530612244,35,26,5,0.30397236614853196,"176,45,47,96,41,14,51,78,5,26",False,False,0.1452539771762683
6,0.539383616451501,9.0,10,32.0,0.16656893050367957,15920.721075024878,17296.721075024878,43,3,13.159090909090908,41,8,5,0.30397236614853196,"176,46,42,94,42,14,53,73,5,34",False,False,0.14656893050367958
6,0.539383616451501,9.0,10,64.0,0.15392741130803433,16218.874056144216,18330.874056144217,33,4,17.029411764705884,60,0,5,0.3143350604490501,"182,40,42,91,41,14,45,90,5,29",False,False,0.13392741130803434
