pca_components,explained_variance,compression_ratio,k,jump_penalty,silhouette,inertia,objective,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,min_cluster_size,max_cluster_share,cluster_sizes,market_regime_feasible,attention_ready,tuning_score
6,0.539383616451501,9.0,5,16.0,0.1763783921658674,21307.717104711155,21867.717104711155,35,1,16.083333333333332,72,14,0.39723661485319517,"103,230,14,88,144",False,False,0.1563783921658674
6,0.539383616451501,9.0,5,32.0,0.17590598299280155,21364.2325226305,22388.2325226305,32,1,17.545454545454547,72,14,0.39896373056994816,"103,231,14,89,142",False,False,0.15590598299280156
6,0.539383616451501,9.0,5,64.0,0.15173486781397938,21818.736134860483,23162.736134860483,21,5,26.318181818181817,68,14,0.3436960276338515,"199,169,78,119,14",False,False,0.1317348678139794
6,0.539383616451501,9.0,6,0.0,0.18319500068171646,18686.915180577453,18686.915180577453,125,1,4.595238095238095,39,14,0.3454231433506045,"200,151,52,95,14,67",False,False,0.16319500068171647
6,0.539383616451501,9.0,6,0.25,0.18319500068171646,18686.915180577453,18718.165180577453,125,1,4.595238095238095,39,14,0.3454231433506045,"200,151,52,95,14,67",False,False,0.16319500068171647
6,0.539383616451501,9.0,6,0.5,0.1836803244636406,18688.28257634287,18747.78257634287,119,1,4.825,39,14,0.3488773747841105,"202,151,52,93,14,67",False,False,0.16368032446364061
6,0.539383616451501,9.0,6,1.0,0.18462797189961627,18675.08280267311,18783.08280267311,108,1,5.3119266055045875,40,14,0.3454231433506045,"200,159,52,89,14,65",False,False,0.16462797189961628
6,0.539383616451501,9.0,6,2.0,0.18452434332927636,18705.06214424817,18897.06214424817,96,1,5.969072164948454,47,14,0.3540587219343696,"205,155,50,90,14,65",False,False,0.16452434332927637
6,0.539383616451501,9.0,6,4.0,0.18435486322698594,18731.480332153682,19071.480332153682,85,1,6.732558139534884,50,14,0.3488773747841105,"202,159,49,89,14,66",False,False,0.16435486322698595
6,0.539383616451501,9.0,6,8.0,0.18357317111318042,18767.987285895684,19391.987285895684,78,1,7.329113924050633,50,14,0.3436960276338515,"199,163,49,88,14,66",False,False,0.16357317111318043
6,0.539383616451501,9.0,6,16.0,0.17934415003224555,18930.09799244364,19938.09799244364,63,1,9.046875,50,14,0.34024179620034545,"197,164,49,88,14,67",False,False,0.15934415003224556
6,0.539383616451501,9.0,6,32.0,0.18426224633594324,19419.16368501536,20731.16368501536,41,1,13.785714285714286,72,14,0.41450777202072536,"80,240,58,53,134,14",False,False,0.16426224633594325
6,0.539383616451501,9.0,6,64.0,0.15155090458805862,19950.556990484816,21678.556990484816,27,2,20.678571428571427,68,14,0.3626943005181347,"129,51,210,14,49,126",False,False,0.13155090458805863
6,0.539383616451501,9.0,7,0.0,0.18238176486352847,17322.455873559367,17322.455873559367,112,1,5.123893805309734,37,14,0.3160621761658031,"53,63,126,183,84,56,14",False,False,0.16238176486352848
6,0.539383616451501,9.0,7,0.25,0.1827279609525702,17322.373950289526,17349.873950289526,110,1,5.216216216216216,37,14,0.3177892918825561,"53,63,125,184,84,56,14",False,False,0.16272796095257022
