target,task,feature,mutual_information,permutation_p_value,rank
next_return_gld,regression,nfci_level,0.0,1.0,48
next_return_gld,regression,nfci_chg_4w,0.0,1.0,49
next_return_gld,regression,t10y2y_sign,0.0,1.0,50
next_return_gld,regression,t10yie_chg_5d,0.0,1.0,51
next_return_gld,regression,umcsent_chg_3m,0.0,1.0,52
next_return_gld,regression,unrate_level,0.0,1.0,53
next_return_gld,regression,unrate_chg_3m,0.0,1.0,54
best_asset_next_week,classification,tnx_level,0.0406733199717535,0.019801980198019802,1
best_asset_next_week,classification,gld_vol_20d,0.033806796372405135,0.0594059405940594,2
best_asset_next_week,classification,dgs10_level,0.02893277694526386,0.04950495049504951,3
best_asset_next_week,classification,tlt_ret_1d,0.028076146155275872,0.09900990099009901,4
best_asset_next_week,classification,spy_drawdown_60d,0.026666984331584764,0.04950495049504951,5
best_asset_next_week,classification,spy_vol_5d,0.026075317976112622,0.09900990099009901,6
best_asset_next_week,classification,gld_ma_gap_5_20,0.02438966695885103,0.10891089108910891,7
best_asset_next_week,classification,icsa_log_level,0.01820175435539495,0.2079207920792079,8
best_asset_next_week,classification,tlt_intraday_range,0.01362820968461076,0.2376237623762376,9
best_asset_next_week,classification,tlt_ret_20d,0.012779637075182926,0.18811881188118812,10
best_asset_next_week,classification,t10y2y_level,0.012434599731565577,0.1782178217821782,11
best_asset_next_week,classification,spy_ret_5d,0.011841608728725195,0.27722772277227725,12
best_asset_next_week,classification,t10y2y_sign,0.009728022423716176,0.297029702970297,13
best_asset_next_week,classification,vix_change_5d,0.004863518348678042,0.40594059405940597,14
best_asset_next_week,classification,tlt_vol_5d,0.004009306689289893,0.36633663366336633,15
best_asset_next_week,classification,gld_vol_5d,0.003953603513124904,0.43564356435643564,16
best_asset_next_week,classification,spy_tlt_corr_20d,0.003710816694706409,0.40594059405940597,17
best_asset_next_week,classification,umcsent_chg_3m,0.0014540946943495392,0.5247524752475248,18
best_asset_next_week,classification,qqq_spy_log_ratio,0.0012290798153000715,0.44554455445544555,19
best_asset_next_week,classification,dff_level,0.0009717965724655997,0.4752475247524752,20
best_asset_next_week,classification,unrate_chg_3m,0.0005785992865239287,0.45544554455445546,21
best_asset_next_week,classification,nfci_level,0.00017562977773577515,0.594059405940594,22
best_asset_next_week,classification,spy_ret_1d,0.0,1.0,23
best_asset_next_week,classification,spy_ret_20d,0.0,1.0,24
best_asset_next_week,classification,spy_vol_20d,0.0,1.0,25
best_asset_next_week,classification,spy_ma_gap_5_20,0.0,1.0,26
best_asset_next_week,classification,spy_intraday_range,0.0,1.0,27
best_asset_next_week,classification,spy_volume_z_20,0.0,1.0,28
best_asset_next_week,classification,tlt_ret_5d,0.0,1.0,29
best_asset_next_week,classification,tlt_vol_20d,0.0,1.0,30
best_asset_next_week,classification,tlt_drawdown_60d,0.0,1.0,31
best_asset_next_week,classification,tlt_ma_gap_5_20,0.0,1.0,32
best_asset_next_week,classification,tlt_volume_z_20,0.0,1.0,33
best_asset_next_week,classification,gld_ret_1d,0.0,1.0,34
best_asset_next_week,classification,gld_ret_5d,0.0,1.0,35
best_asset_next_week,classification,gld_ret_20d,0.0,1.0,36
best_asset_next_week,classification,gld_drawdown_60d,0.0,1.0,37
best_asset_next_week,classification,gld_intraday_range,0.0,1.0,38
best_asset_next_week,classification,gld_volume_z_20,0.0,1.0,39
best_asset_next_week,classification,qqq_spy_ratio_chg_5d,0.0,1.0,40
best_asset_next_week,classification,spy_gld_corr_20d,0.0,1.0,41
best_asset_next_week,classification,vix_level,0.0,1.0,42
best_asset_next_week,classification,tnx_change_5d,0.0,1.0,43
best_asset_next_week,classification,cpi_yoy,0.0,1.0,44
best_asset_next_week,classification,dff_chg_5d,0.0,1.0,45
best_asset_next_week,classification,dgs10_chg_5d,0.0,1.0,46
best_asset_next_week,classification,icsa_chg_4w,0.0,1.0,47
best_asset_next_week,classification,indpro_yoy,0.0,1.0,48
best_asset_next_week,classification,nfci_chg_4w,0.0,1.0,49
best_asset_next_week,classification,t10y2y_chg_5d,0.0,1.0,50
best_asset_next_week,classification,t10yie_level,0.0,1.0,51
best_asset_next_week,classification,t10yie_chg_5d,0.0,1.0,52
best_asset_next_week,classification,umcsent_level,0.0,1.0,53
best_asset_next_week,classification,unrate_level,0.0,1.0,54
